X96-1048-362,0
C02-1025-000,9
C08-1098-036,6
P06-2124-170,0
C94-2154-081,0
W08-2222-100,8
W95-0104-087,0
W04-0213-084,0
C02-1025-063,2
D10-1083-187,7
D10-1083-227,0
X96-1048-188,0
W95-0104-326,1
P05-1053-197,0
C04-1089-045,0
C90-2039-123,0
I05-5011-000,9
I05-5011-112,0
J96-3004-240,0
W95-0104-047,0
N01-1011-023,2
X96-1048-122,0
P06-2124-000,9
D10-1083-062,0
I05-5011-196,0
C04-1089-027,5
W08-2222-068,0
P06-2124-053,2
E09-2008-004,8
C10-1045-140,0
P06-2124-172,0
W95-0104-278,0
C08-1098-221,0
C94-2154-042,0
E03-1020-013,6
C00-2123-114,2
W08-2222-127,0
E03-1020-074,6
C02-1025-162,0
W03-0410-238,3
C02-1025-164,3
H89-2014-045,0
J00-3003-569,0
J00-3003-394,0
P05-1053-135,1
W95-0104-062,0
C04-1089-107,4
J00-3003-095,0
P98-1081-035,8
P98-1081-096,0
J96-3004-086,0
C00-2123-140,0
J98-2005-011,8
D10-1083-091,0
P98-1081-080,7
W03-0410-077,3
H05-1115-066,0
N01-1011-178,0
C90-2039-086,3
P06-2124-234,0
H05-1115-092,0
P98-1081-057,0
J96-3004-047,0
C04-1089-165,0
W03-0410-033,0
P05-1053-166,7
C10-1045-036,1
W95-0104-148,2
J96-3004-357,3
P05-1053-029,9
J00-3003-150,0
C00-2123-077,0
C04-1089-028,5
C04-1089-152,3
H05-1115-133,1
J96-3004-127,0
C04-1089-052,0
I05-5011-109,3
D10-1083-043,7
W95-0104-117,0
J96-3004-443,1
H05-1115-069,0
I05-5011-001,9
C90-2039-081,8
C08-1098-037,3
C10-1045-296,3
C90-2039-060,0
C02-1025-132,0
D10-1083-155,0
C10-1045-228,0
J96-3004-072,0
C02-1025-093,0
N06-2049-068,0
P06-2124-183,0
W04-0213-026,0
J96-3004-049,0
C04-1089-044,0
C10-1045-265,2
H89-2014-066,1
W08-2222-106,0
