X96-1048-362,2
C02-1025-000,2
C08-1098-036,3
P06-2124-170,2
C94-2154-081,2
W08-2222-100,2
W95-0104-087,3
W04-0213-084,2
C02-1025-063,3
D10-1083-187,2
D10-1083-227,0
X96-1048-188,3
W95-0104-326,3
P05-1053-197,3
C04-1089-045,2
C90-2039-123,1
I05-5011-000,3
I05-5011-112,2
J96-3004-240,1
W95-0104-047,2
N01-1011-023,2
X96-1048-122,2
P06-2124-000,2
D10-1083-062,2
I05-5011-196,2
C04-1089-027,2
W08-2222-068,2
P06-2124-053,2
E09-2008-004,2
C10-1045-140,2
P06-2124-172,2
W95-0104-278,0
C08-1098-221,2
C94-2154-042,2
E03-1020-013,2
C00-2123-114,2
W08-2222-127,2
E03-1020-074,3
C02-1025-162,1
W03-0410-238,2
C02-1025-164,2
H89-2014-045,2
J00-3003-569,2
J00-3003-394,3
P05-1053-135,2
W95-0104-062,3
C04-1089-107,3
J00-3003-095,2
P98-1081-035,2
P98-1081-096,2
J96-3004-086,2
C00-2123-140,2
J98-2005-011,2
D10-1083-091,2
P98-1081-080,3
W03-0410-077,2
H05-1115-066,1
N01-1011-178,2
C90-2039-086,2
P06-2124-234,0
H05-1115-092,1
P98-1081-057,2
J96-3004-047,0
C04-1089-165,2
W03-0410-033,2
P05-1053-166,2
C10-1045-036,2
W95-0104-148,2
J96-3004-357,2
P05-1053-029,2
J00-3003-150,2
C00-2123-077,0
C04-1089-028,2
C04-1089-152,2
H05-1115-133,2
J96-3004-127,2
C04-1089-052,2
I05-5011-109,2
D10-1083-043,2
W95-0104-117,2
J96-3004-443,2
H05-1115-069,1
I05-5011-001,2
C90-2039-081,2
C08-1098-037,2
C10-1045-296,2
C90-2039-060,2
C02-1025-132,2
D10-1083-155,3
C10-1045-228,2
J96-3004-072,2
C02-1025-093,2
N06-2049-068,2
P06-2124-183,0
W04-0213-026,2
J96-3004-049,1
C04-1089-044,2
C10-1045-265,2
H89-2014-066,2
W08-2222-106,0
